No.,시설명,설치장소,주소,X,Y
238,봉개초등학교 놀이시설,학교,제주특별자치도 제주시 번영로 484,126.5936357,33.49033002
239,평대초등학교 놀이시설,학교,제주특별자치시 제주시 일주동로 2979,126.840447,33.52923497
240,구좌중앙초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 월정7길,126.8167828,33.52534288
241,수산초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 수시로 9,126.8858141,33.44716882
242,서광초등학교 놀이시설,학교,제주특별자치도 서귀포시 안덕면 중산간서로 1842,126.3262531,33.28826722
243,제주북초등학교 놀이시설,학교,제주특별자치도 제주시 중앙로8길 18,126.5223954,33.51509319
244,고산초등학교 놀이시설,학교,제주특별자치도 제주시 한경면 고산로1길 16,126.1772074,33.30417212
245,대정서초등학교 놀이시설,학교,제주특별자치도 서귀포시 대정읍 동일하모로 43,126.2390379,33.23188085
246,가파초등학교 놀이시설,학교,제주특별자치도 서귀포시 대정읍 가파로67번길 45,126.2704263,33.16905617
247,강정초등학교 놀이시설,학교,제주특별자치시 서귀포시 말질로 188,126.4788845,33.23471815
248,제주영지학교 놀이시설,학교,제주특별자치도 제주시 간월동로3길 15,126.5426429,33.48832994
249,한마음초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 한마음초등로 408,126.8150686,33.3518721
250,서귀포초등학교 놀이시설,학교,제주특별자치도 서귀포시 솔동산로11번길 17 ,126.5657306,33.24399774
251,어도초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 봉성로 76,126.313225,33.41986384
252,남광초등학교 놀이시설,학교,제주특별자치도 제주시 남광로 28,126.539594,33.49307895
253,북촌초등학교 놀이시설,학교,제주특별자치도 제주시 조천읍 일주동로 1481,126.6918225,33.54762269
254,토산초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,126.7776233,33.31207558
255,대정초등학교 놀이시설,학교,제주특별자치도 서귀포시 대정읍 상모대서로 15,126.2557889,33.22507629
256,성읍초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 성읍민속로 65,126.7980732,33.38378934
257,사계초등학교 놀이시설,학교,제주특별자치시 서귀포시 산방로 346,126.2997059,33.23323934
258,예래초등학교 놀이시설,학교,제주특별자치도 서귀포시 예래로 210-14 ,126.3914098,33.24599482
259,물메초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 엄수로 202-4,126.3913224,33.46591153
260,가마초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 일주동로6285번길 8,126.7996526,33.30535141
261,풍천초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 풍천로 18,126.8502044,33.34879166
262,보성초등학교 놀이시설,학교,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,126.275948,33.24943082
263,서귀서초등학교 놀이시설,학교,제주특별자치도 서귀포시 솜반천로 38,126.5565892,33.25446915
264,덕수초등학교 놀이시설,학교,제주특별자치도 서귀포시 안덕면 덕수서로 10,126.304474,33.25154174
265,재릉초등학교 놀이시설,학교,제주특별자치도 제주시 한림읍 한림로 288-18,126.2382299,33.38850017
266,제주중앙초등학교놀이시설,학교,제주특별자치도 제주시 서사로18길 40,126.5157275,33.50262534
267,백록초등학교 놀이시설,학교,제주특별자치도 제주시 정존5길 62,126.4703769,33.48694058
268,남원초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 한신로 213,126.7142183,33.310574
